epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,625.242,1.8295,2.86126,1.95464,0.35732,0.40123,0.33738,0.0971,1.76079,2.81472,1.79803,0.000410053,0.000410053,0.000410053
2,1174.66,1.54694,2.19076,1.7344,0.27967,0.2284,0.20501,0.08437,2.07217,2.84799,2.12339,0.000810351,0.000810351,0.000810351
3,1638,1.51426,2.04217,1.69687,0.47819,0.37403,0.42761,0.2215,1.60217,2.86992,1.66791,0.00119415,0.00119415,0.00119415
4,2135.22,1.45035,1.96491,1.65427,0.46264,0.62817,0.55338,0.27299,1.70244,1.95842,1.68665,0.00117575,0.00117575,0.00117575
5,2685.78,1.42458,1.90339,1.6363,0.44668,0.52391,0.47122,0.1816,1.98223,2.39602,2.0488,0.001151,0.001151,0.001151
6,3770.96,1.434,1.82548,1.62218,0.61146,0.55246,0.60633,0.26287,1.80983,1.90729,1.80875,0.00112625,0.00112625,0.00112625
7,4582.35,1.39045,1.74027,1.58088,0.60202,0.59964,0.63185,0.36384,1.46394,1.66803,1.48548,0.0011015,0.0011015,0.0011015
8,5354.81,1.38246,1.68017,1.57296,0.64429,0.62839,0.68957,0.38515,1.5121,1.69228,1.50983,0.00107675,0.00107675,0.00107675
9,6101.01,1.34992,1.65594,1.5626,0.68255,0.62631,0.68385,0.44457,1.28392,1.41196,1.40694,0.001052,0.001052,0.001052
10,6833.32,1.35423,1.62517,1.55105,0.57604,0.54122,0.57204,0.36347,1.27966,1.70389,1.38576,0.00102725,0.00102725,0.00102725
11,7564.97,1.32249,1.59508,1.52862,0.63361,0.5329,0.59577,0.40308,1.13587,1.50365,1.34901,0.0010025,0.0010025,0.0010025
12,8296.38,1.32455,1.55904,1.53526,0.68404,0.64051,0.7055,0.43721,1.34175,1.43577,1.3881,0.00097775,0.00097775,0.00097775
13,8995.41,1.29766,1.49947,1.51496,0.72031,0.63355,0.72594,0.52315,1.0271,1.21268,1.25142,0.000953,0.000953,0.000953
14,9614.31,1.27272,1.48107,1.50018,0.726,0.62136,0.7175,0.49616,1.12111,1.26862,1.29536,0.00092825,0.00092825,0.00092825
15,10224.4,1.26385,1.48966,1.48964,0.75905,0.70393,0.77235,0.54681,1.06938,1.11195,1.25698,0.0009035,0.0009035,0.0009035
16,10836.9,1.25552,1.42971,1.48235,0.78625,0.68701,0.78567,0.57317,1.01548,1.09237,1.24714,0.00087875,0.00087875,0.00087875
17,11460.9,1.26431,1.43566,1.4871,0.7984,0.70035,0.81027,0.57821,1.04535,1.02093,1.23956,0.000854,0.000854,0.000854
18,12083.7,1.23403,1.40735,1.47271,0.78739,0.65895,0.77674,0.47189,1.39411,1.21221,1.3775,0.00082925,0.00082925,0.00082925
19,12704.9,1.21856,1.3764,1.45464,0.84078,0.68471,0.81137,0.58599,1.03819,1.06471,1.24351,0.0008045,0.0008045,0.0008045
20,13319.8,1.22402,1.37668,1.45877,0.73122,0.64927,0.75329,0.51929,1.16379,1.20154,1.28592,0.00077975,0.00077975,0.00077975
21,13936.9,1.21698,1.3592,1.46188,0.78838,0.68284,0.78909,0.5444,1.12227,1.08183,1.27385,0.000755,0.000755,0.000755
22,14544.7,1.21392,1.36666,1.44609,0.79047,0.70303,0.80518,0.54752,1.15342,1.09954,1.26028,0.00073025,0.00073025,0.00073025
23,15142.9,1.19742,1.32258,1.44313,0.83877,0.73379,0.83121,0.56368,1.17781,0.99009,1.26352,0.0007055,0.0007055,0.0007055
24,15735.8,1.19951,1.31722,1.44526,0.84805,0.73208,0.84251,0.63585,0.92617,0.91645,1.16691,0.00068075,0.00068075,0.00068075
25,16338.7,1.19346,1.29127,1.43392,0.80168,0.71207,0.81409,0.59546,0.99422,0.97296,1.19904,0.000656,0.000656,0.000656
26,16959.8,1.17072,1.29292,1.4216,0.81798,0.68375,0.81093,0.58804,0.99073,1.01355,1.20887,0.00063125,0.00063125,0.00063125
27,17572.3,1.18482,1.30426,1.42772,0.82635,0.72109,0.8294,0.6301,0.9053,0.92151,1.16418,0.0006065,0.0006065,0.0006065
28,18182,1.17495,1.28737,1.42311,0.86497,0.75107,0.86088,0.66156,0.8658,0.82731,1.14205,0.00058175,0.00058175,0.00058175
29,18764.6,1.16847,1.268,1.42365,0.72381,0.64922,0.7479,0.55928,0.87419,1.15494,1.16264,0.000557,0.000557,0.000557
30,19248.3,1.15414,1.24486,1.40244,0.84156,0.74759,0.85723,0.6211,1.01088,0.8789,1.18315,0.00053225,0.00053225,0.00053225
31,19720,1.17204,1.27601,1.4197,0.82167,0.74618,0.84926,0.65754,0.82411,0.86455,1.13012,0.0005075,0.0005075,0.0005075
32,20200.9,1.16436,1.27726,1.42639,0.87394,0.72756,0.85445,0.60136,1.09525,0.91003,1.22284,0.00048275,0.00048275,0.00048275
33,20676.5,1.14862,1.25103,1.40732,0.84557,0.75252,0.85973,0.65986,0.83997,0.81869,1.13556,0.000458,0.000458,0.000458
34,21152.4,1.13116,1.21614,1.39401,0.87118,0.75242,0.86872,0.67629,0.82668,0.79568,1.11381,0.00043325,0.00043325,0.00043325
35,21629.4,1.13211,1.21241,1.39235,0.82638,0.70128,0.81804,0.63513,0.81846,0.93707,1.12683,0.0004085,0.0004085,0.0004085
36,22103.1,1.12937,1.20184,1.39486,0.86056,0.77699,0.8718,0.64011,0.95253,0.81797,1.15915,0.00038375,0.00038375,0.00038375
