epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,818.534,1.83735,2.88535,1.95885,0.31312,0.47438,0.29255,0.07949,2.08007,2.81585,2.1415,0.000410053,0.000410053,0.000410053
2,1422.75,1.57337,2.21395,1.74484,0.53843,0.26288,0.26977,0.12089,1.84288,4.17887,1.82822,0.000810351,0.000810351,0.000810351
3,1966.02,1.54882,2.08579,1.70712,0.24375,0.4962,0.31122,0.16712,1.51438,3.42595,1.70161,0.00119415,0.00119415,0.00119415
4,2484.62,1.53803,2.02305,1.69509,0.52799,0.46179,0.48639,0.24275,1.68713,2.13688,1.66953,0.00117575,0.00117575,0.00117575
5,2968.86,1.50709,1.9548,1.67087,0.4949,0.44441,0.44799,0.21052,1.76797,2.11284,1.7094,0.001151,0.001151,0.001151
6,3457.13,1.46904,1.84113,1.62458,0.46879,0.49031,0.47341,0.24563,1.52754,2.39981,1.5953,0.00112625,0.00112625,0.00112625
7,3946.66,1.44463,1.79325,1.60624,0.67761,0.47117,0.56588,0.24232,1.92744,2.06723,1.7563,0.0011015,0.0011015,0.0011015
8,4428.89,1.43892,1.7607,1.60801,0.71922,0.60815,0.69453,0.36319,1.57613,1.60482,1.55841,0.00107675,0.00107675,0.00107675
9,4908.18,1.41655,1.67936,1.5881,0.74226,0.64887,0.75747,0.38676,1.6286,1.4306,1.5562,0.001052,0.001052,0.001052
10,5384.86,1.40773,1.68259,1.59121,0.5821,0.51824,0.55739,0.31127,1.45433,1.73904,1.46233,0.00102725,0.00102725,0.00102725
11,5920.38,1.40641,1.64348,1.57845,0.78451,0.60422,0.73719,0.5137,1.10731,1.32013,1.29514,0.0010025,0.0010025,0.0010025
12,6404.15,1.39394,1.6359,1.58025,0.81562,0.6334,0.76509,0.46866,1.34779,1.28666,1.39768,0.00097775,0.00097775,0.00097775
13,6774.13,1.36886,1.5907,1.56861,0.74824,0.65018,0.75959,0.50671,1.20333,1.28798,1.30976,0.000953,0.000953,0.000953
14,7140.16,1.35353,1.55313,1.54194,0.73229,0.66147,0.75531,0.42535,1.48123,1.51348,1.44573,0.00092825,0.00092825,0.00092825
15,7525.16,1.34309,1.53336,1.54336,0.75226,0.66229,0.76602,0.49958,1.26363,1.30111,1.33263,0.0009035,0.0009035,0.0009035
16,7914.07,1.34265,1.49707,1.5376,0.67517,0.65319,0.70768,0.46422,1.19995,1.34424,1.32675,0.00087875,0.00087875,0.00087875
17,8297.74,1.31878,1.49407,1.52449,0.8155,0.69901,0.82097,0.55135,1.1903,1.12508,1.3005,0.000854,0.000854,0.000854
18,8685.26,1.31231,1.47922,1.51565,0.68282,0.60869,0.6777,0.45875,1.16283,1.46862,1.31759,0.00082925,0.00082925,0.00082925
19,9065.24,1.3079,1.4626,1.51835,0.80034,0.70825,0.79943,0.57518,1.0409,1.07847,1.24321,0.0008045,0.0008045,0.0008045
20,9451.36,1.31763,1.47738,1.51538,0.82803,0.68159,0.82052,0.54888,1.1746,1.07523,1.27229,0.00077975,0.00077975,0.00077975
21,9935.36,1.29648,1.43711,1.50208,0.77353,0.64554,0.75383,0.51096,1.1567,1.13023,1.27288,0.000755,0.000755,0.000755
22,10636.5,1.32709,1.45623,1.5215,0.86372,0.69779,0.83073,0.56074,1.16798,1.11087,1.26668,0.00073025,0.00073025,0.00073025
23,11183.8,1.27564,1.3895,1.49125,0.8149,0.70692,0.82157,0.56319,1.08674,1.1067,1.22776,0.0007055,0.0007055,0.0007055
24,11706.4,1.26511,1.39107,1.47976,0.78495,0.72543,0.81397,0.53177,1.22135,1.08614,1.28691,0.00068075,0.00068075,0.00068075
25,12172.2,1.26873,1.39217,1.49709,0.81651,0.68687,0.81049,0.59571,0.95864,1.14005,1.20328,0.000656,0.000656,0.000656
26,12694.8,1.26021,1.36098,1.47418,0.71406,0.66874,0.74615,0.49951,1.16026,1.31724,1.27798,0.00063125,0.00063125,0.00063125
27,13702.3,1.27038,1.35348,1.48068,0.77844,0.7105,0.80408,0.53665,1.15732,1.16364,1.24712,0.0006065,0.0006065,0.0006065
28,14537.2,1.25893,1.35644,1.48098,0.80758,0.71216,0.82553,0.6244,0.90712,1.01268,1.17105,0.00058175,0.00058175,0.00058175
29,15308.2,1.24203,1.3521,1.46268,0.77637,0.62387,0.75156,0.54755,0.95309,1.20893,1.20208,0.000557,0.000557,0.000557
