epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,563.766,1.59544,2.52349,1.70524,0.53232,0.65704,0.59497,0.12503,2.05232,2.6453,2.05292,0.000410053,0.000410053,0.000410053
2,952.319,1.43704,1.81892,1.55871,0.32253,0.55357,0.37479,0.09656,1.85232,3.5872,2.13165,0.000810351,0.000810351,0.000810351
3,1344.68,1.39981,1.69892,1.51754,0.59706,0.40166,0.41805,0.10253,1.98269,3.39304,2.10296,0.00119415,0.00119415,0.00119415
4,1736,1.37474,1.6079,1.49972,0.32194,0.14296,0.0491,0.01718,2.06719,4.83175,2.29125,0.00117575,0.00117575,0.00117575
5,2124.91,1.34967,1.49327,1.47711,0.53364,0.65499,0.60199,0.23329,1.54867,2.14422,1.73624,0.001151,0.001151,0.001151
6,2516.09,1.33679,1.44263,1.45217,0.56179,0.64444,0.55393,0.16163,1.85777,2.54,1.80041,0.00112625,0.00112625,0.00112625
7,2905.94,1.31519,1.38449,1.45074,0.56878,0.56597,0.43555,0.16062,1.61491,2.44374,1.54963,0.0011015,0.0011015,0.0011015
8,3300.75,1.29032,1.36447,1.43229,0.82263,0.81396,0.89748,0.43976,1.41155,1.44706,1.43599,0.00107675,0.00107675,0.00107675
9,3699.14,1.26641,1.30551,1.40656,0.83074,0.83732,0.88488,0.3415,1.84675,1.38335,1.66808,0.001052,0.001052,0.001052
10,4073.38,1.26928,1.28656,1.41757,0.737,0.74309,0.77355,0.38662,1.50221,1.48188,1.47312,0.00102725,0.00102725,0.00102725
11,4437.49,1.26603,1.28499,1.41003,0.85912,0.87294,0.91562,0.35647,1.8517,1.28893,1.79163,0.0010025,0.0010025,0.0010025
12,4800.71,1.24678,1.27331,1.40713,0.78249,0.77267,0.85608,0.50533,1.29483,1.29496,1.3435,0.00097775,0.00097775,0.00097775
13,5167.36,1.21251,1.20975,1.38019,0.66998,0.75184,0.76883,0.50187,1.14152,1.32541,1.20533,0.000953,0.000953,0.000953
14,5526.57,1.19871,1.15202,1.36758,0.8198,0.83602,0.91704,0.60225,1.13658,0.97225,1.22174,0.00092825,0.00092825,0.00092825
15,5892.48,1.20157,1.2102,1.37404,0.88716,0.91178,0.9566,0.67194,1.04931,0.88354,1.1443,0.0009035,0.0009035,0.0009035
16,6258.84,1.1886,1.15619,1.36125,0.89231,0.86351,0.93932,0.54084,1.31039,0.99237,1.2603,0.00087875,0.00087875,0.00087875
17,6624.27,1.20579,1.13769,1.37505,0.82367,0.84735,0.91015,0.58672,1.22865,1.0158,1.19519,0.000854,0.000854,0.000854
18,6992.55,1.17669,1.13627,1.35834,0.87788,0.89686,0.94392,0.6219,1.18999,0.85825,1.20209,0.00082925,0.00082925,0.00082925
19,7343.85,1.15678,1.1299,1.35229,0.85543,0.91893,0.95861,0.67135,1.01509,0.78667,1.13584,0.0008045,0.0008045,0.0008045
