epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,843.234,1.68334,2.66758,1.85254,0.49889,0.30339,0.33751,0.07486,1.9081,3.24473,2.15909,0.000410053,0.000410053,0.000410053
2,1578.41,1.54869,2.11793,1.7521,0.24523,0.18079,0.09537,0.0184,2.22653,3.95547,2.46373,0.000810351,0.000810351,0.000810351
3,2314.94,1.52839,1.96889,1.69789,0.51088,0.41628,0.35017,0.12169,1.8327,3.55781,1.96445,0.00119415,0.00119415,0.00119415
4,3046.95,1.50901,1.93578,1.70708,0.55957,0.507,0.49214,0.13495,2.01226,2.90739,2.1992,0.00117575,0.00117575,0.00117575
5,3771.14,1.48268,1.84367,1.67198,0.6735,0.55419,0.59713,0.16336,1.90366,2.37995,1.97495,0.001151,0.001151,0.001151
6,4505.77,1.4535,1.75713,1.61964,0.50689,0.48409,0.44005,0.12402,1.98493,2.67554,2.09497,0.00112625,0.00112625,0.00112625
7,5160,1.44948,1.72728,1.6297,0.51902,0.48378,0.45483,0.11704,2.05173,3.02988,2.19444,0.0011015,0.0011015,0.0011015
8,5765.1,1.43693,1.67415,1.60604,0.66179,0.44815,0.54298,0.20738,1.71603,2.37303,1.861,0.00107675,0.00107675,0.00107675
9,6379.85,1.41667,1.61666,1.59684,0.70904,0.62098,0.70312,0.24307,1.80719,1.90026,1.85125,0.001052,0.001052,0.001052
10,7001.47,1.42913,1.59608,1.60594,0.64275,0.51215,0.56777,0.33709,1.36696,1.88564,1.5234,0.00102725,0.00102725,0.00102725
11,7618.07,1.38753,1.60326,1.57206,0.66216,0.60035,0.64009,0.36985,1.36657,1.69938,1.55534,0.0010025,0.0010025,0.0010025
12,8239.31,1.4028,1.59472,1.59939,0.68714,0.58057,0.68929,0.39069,1.42385,1.67839,1.5884,0.00097775,0.00097775,0.00097775
