epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.5838,1.74217,3.04517,1.86642,0.02501,1,0.52251,0.18965,1.29352,3.51177,1.40186,0.000275,0.000275,0.000275
2,107.049,1.5291,2.17597,1.69291,0.4788,0.36922,0.43827,0.09929,1.80156,3.23634,1.95636,0.000556931,0.000556931,0.000556931
3,158.245,1.50787,1.86649,1.63663,0.51379,0.62559,0.57246,0.14327,1.99301,2.80101,2.05378,0.00083317,0.00083317,0.00083317
4,207.926,1.49148,1.76131,1.60836,0.50571,0.47227,0.44558,0.0866,2.39919,2.94627,2.69286,0.00110372,0.00110372,0.00110372
5,258.354,1.44979,1.68676,1.58914,0.49891,0.69654,0.61233,0.14806,2.2526,3.11618,2.24645,0.0012005,0.0012005,0.0012005
6,308.909,1.45346,1.60608,1.57304,0.54886,0.37131,0.3549,0.08016,2.14676,7.98457,2.43186,0.00118812,0.00118812,0.00118812
7,360.36,1.38959,1.60376,1.55358,0.3177,0.41814,0.31098,0.07585,2.189,3.53403,2.6548,0.00117575,0.00117575,0.00117575
8,411.323,1.40357,1.54903,1.52381,0.46241,0.4209,0.41272,0.09331,2.13733,2.89829,2.28703,0.00116337,0.00116337,0.00116337
9,461.957,1.39204,1.4927,1.53304,0.79789,0.75768,0.79737,0.21306,2.13131,2.1088,2.33184,0.001151,0.001151,0.001151
10,512.763,1.39485,1.47047,1.54207,0.85886,0.83394,0.88428,0.289,1.91236,1.92084,2.03022,0.00113863,0.00113863,0.00113863
11,565.535,1.32752,1.41953,1.48906,0.25989,0.23159,0.19885,0.04266,2.17929,3.40687,2.4894,0.00112625,0.00112625,0.00112625
12,617.929,1.34529,1.4038,1.49664,0.34466,0.30008,0.23997,0.05501,2.52515,2.59755,2.82841,0.00111388,0.00111388,0.00111388
13,670.483,1.34906,1.35547,1.50538,0.7072,0.72313,0.71559,0.22115,2.0438,2.09418,2.19165,0.0011015,0.0011015,0.0011015
14,723.418,1.33612,1.31803,1.48323,0.76537,0.81422,0.82199,0.2356,2.1744,1.83708,2.4379,0.00108913,0.00108913,0.00108913
15,775.534,1.30851,1.31474,1.48073,0.83887,0.80003,0.86806,0.27441,2.00934,1.69215,2.05307,0.00107675,0.00107675,0.00107675
16,827.094,1.33572,1.3159,1.49237,0.87937,0.85771,0.89116,0.30092,2.01983,1.56257,1.92321,0.00106437,0.00106437,0.00106437
17,879.735,1.33976,1.30441,1.48162,0.90494,0.91137,0.94885,0.41196,1.64827,1.47082,1.72256,0.001052,0.001052,0.001052
18,929.697,1.3153,1.26247,1.47198,0.93408,0.95237,0.97861,0.398,1.8337,1.24378,1.7298,0.00103962,0.00103962,0.00103962
19,979.628,1.30178,1.28455,1.46497,0.54212,0.5841,0.59767,0.31389,1.4138,2.2286,1.55277,0.00102725,0.00102725,0.00102725
20,1033.27,1.27978,1.26496,1.47126,0.85476,0.82041,0.90529,0.38015,1.88041,1.30172,1.70853,0.00101488,0.00101488,0.00101488
21,1083.91,1.26604,1.17694,1.42942,0.80982,0.75802,0.87169,0.4898,1.36187,1.31965,1.45884,0.0010025,0.0010025,0.0010025
22,1134.32,1.25815,1.1868,1.42891,0.84677,0.78081,0.85303,0.47895,1.38206,1.25539,1.40531,0.000990125,0.000990125,0.000990125
23,1184.67,1.29254,1.18141,1.45013,0.79285,0.52369,0.7246,0.44092,1.29421,2.18448,1.46658,0.00097775,0.00097775,0.00097775
24,1235.72,1.24827,1.15347,1.43132,0.83247,0.76298,0.85096,0.4748,1.35746,1.32257,1.48198,0.000965375,0.000965375,0.000965375
